spots_genename,spots_coords_1,spots_coords_2,spots_score,idx
Pvalb,14941,22835,0.985970464449508,3135
Cplx2,14884,22843,0.953967852143855,3135
3110035E14Rik,14976,22845,0.991564446242615,3135
Lamp5,14985,22847,0.959151655806396,3135
Nov,14979,22848,0.984942908416929,3135
Rgs4,14981,22852,0.935832887490921,3135
Calm2,14948,22853,0.97768402128878,3135
Aldoc,14937,22854,0.990414570563574,3135
Aldoc,14868,22857,0.976961717306098,3135
Tmsb10,14897,22857,0.978687127370049,3135
Gap43,14930,22861,0.990718306850489,3135
Cplx2,14878,22863,0.918011801916925,3135
3110035E14Rik,14914,22865,0.962972154239141,3135
Id2,14944,22870,0.961669935656993,56
Pde1a,14932,22871,0.9551360275647,3135
Bcl11b,14909,22873,0.981353752282772,3135
3110035E14Rik,14910,22875,0.992859110706742,3135
3110035E14Rik,14936,22877,0.972761788223898,3135
Id2,14958,22878,0.986160624353799,56
Cck,14916,22883,0.945588132586815,3135
Id2,14958,22884,0.959142196070952,56
Sulf2,14954,22887,0.990669164373043,56
Id2,14920,22888,0.979938336393286,56
Pde1a,14965,22891,0.97000151036993,56
Slc24a2,14950,22892,0.952953988852404,56
Id2,14926,22893,0.975147886882913,56
Atp1b1,14912,22894,0.970522617566207,3135
Id2,14932,22896,0.975709117903858,56
Id2,14941,22897,0.967960582196861,56
Lamp5,14967,22897,0.981929722936116,56
Id2,14985,22897,0.971050225439592,72
3110035E14Rik,14918,22899,0.973619126657201,3135
Tmsb10,14946,22901,0.984441223897479,56
Adgrl2,14984,22901,0.986402930074086,72
Calm2,14965,22903,0.970583232628071,74
Id2,14972,22903,0.954753401365186,74
3110035E14Rik,14807,22904,0.972657316621114,3135
Pde1a,14961,22906,0.955937706984417,74
Satb1,14942,22907,0.98935114571329,3135
3110035E14Rik,14948,22908,0.968738184291797,56
3110035E14Rik,14752,22910,0.989743213788244,3135
Tmsb10,14979,22911,0.964262727595142,74
Crym,14939,22914,0.973380523637975,3135
Enc1,14971,22914,0.98958058828169,74
3110035E14Rik,14973,22922,0.916065785921707,74
Id2,14974,22923,0.975135486086937,81
3110035E14Rik,14964,22928,0.905633426727502,74
Cplx2,14879,22929,0.944637376936674,3135
3110035E14Rik,14965,22931,0.959225654562012,74
Crym,14968,22933,0.985234994548905,3135
Atp1b1,14983,22934,0.962498114785513,81
Aldoc,14951,22935,0.986457348981903,3135
Cxcl14,14773,22941,0.958322800055005,88
Cplx2,14950,22944,0.923448433593104,3135
Calm2,14945,22948,0.978599141102929,3135
Cplx2,14966,22950,0.928357134991104,3135
Hapln1,14765,22951,0.975303378753207,88
Cplx2,14832,22951,0.93607511957557,3135
Calm2,14977,22951,0.953791111942359,86
Enc1,14983,22952,0.990313780133917,86
